id,lat,lon,type,source,region,source_tagged,is_hot_source,tower_code
4877834130,-6.1944238,106.9566733,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00022
4877834135,-6.1949161,106.9584078,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00023
4885754052,-6.2148152,106.9500804,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00024
4885754073,-6.1988216,106.9423958,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00025
4892485215,-6.2036301,106.9606629,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00026
4892485499,-6.1968404,106.9633976,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00027
4892485654,-6.2007604,106.9557671,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00028
4892485665,-6.1997218,106.9526793,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00029
4892485666,-6.2000921,106.9554212,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00030
4892485667,-6.2040426,106.9534278,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00031
4892485954,-6.2158391,106.9499302,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00032
4901690536,-6.1978563,106.9355321,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00033
4905424893,-6.1947961,106.9326045,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00034
4905424923,-6.2134926,106.9302964,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00035
4905424932,-6.2103569,106.9301677,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00036
4905424969,-6.2031966,106.9319316,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00037
4905424993,-6.2142279,106.9383511,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00038
4905425155,-6.2156471,106.9380641,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00039
4905425156,-6.2044616,106.9294934,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00040
4909945518,-6.2174399,106.9260816,communication,HOT_InAWARESurvey_2017,Bekasi,True,True,TW00041
